L_fuse,x_wle,Arw,Art,bw,SM_0,SM_dry,Max_Speed,ROC_Stall,Stall_Speed,Endurance_min,W_total,Result
4.09196854102555,1.05033270224089,6.49848509734722,3.31355371201814,4.87329542730602,0.145151418661765,0.0889258620865225,196.486486486486,55.6616264561408,51.6989982111522,156.552790915978,17.4128469091331,PASS
3.58205122795458,1.06875482485004,6.27265935879214,4.01704529727603,4.88307926541578,0.1491852510367,0.102992616666164,196.486486486486,55.8250049074198,50.6503018120787,159.073390463893,17.3848958737991,PASS
3.62476290107274,1.05963553797644,6.52181340143382,4.70443750508623,4.77840778132185,0.166793466345821,0.119925361473982,198.918918918919,55.864673840828,52.7205928858735,156.139777105369,17.3472562691825,PASS
3.61358118676395,1.06845588042217,6.32423406174546,4.63502329890176,4.84643236496335,0.163814930810627,0.115433870008545,197.027027027027,55.7635741232924,51.2553487147507,157.974588161769,17.3934982083803,PASS
3.97893163710033,1.05290192757912,6.18525620428671,4.52343123905255,4.87786630302785,0.161188109982944,0.102442020507275,194.864864864865,55.4298238710397,50.483637507097,156.608627894554,17.4773484516598,PASS
4.05145323284119,1.02478374250476,6.43992768852497,3.75793714852755,4.81611944825236,0.133223958898916,0.0778858320177469,197.027027027027,55.602730068537,52.062079932383,154.410910252749,17.4031839924406,PASS
4.01469876858194,1.02068110068047,6.18385982469587,3.56475676900348,4.68103619730293,0.126325735872042,0.0730797749757288,197.837837837838,55.5814869296375,52.3901180686186,149.405834684589,17.3378519774685,PASS
4.09817851594071,1.01720831285986,6.42253830427129,3.63206846889397,4.88146422822746,0.120620067897491,0.0642358506073021,195.945945945946,55.5459796911513,51.3495787512029,156.112524022373,17.4397182182187,PASS
3.8246472397157,1.02565274229231,6.30976104455348,4.38334682686484,4.84709581808209,0.131279858218137,0.079604133981846,196.486486486486,55.611111345165,51.2280153931397,156.248444358356,17.4195741695586,PASS
3.86092248540543,1.05710964218182,6.33281103225592,4.18363281714041,4.82806618300123,0.160390743077588,0.10693760794419,196.756756756757,55.6501956395919,51.5025966452937,155.968763365031,17.4052524169591,PASS
3.70895382974599,1.02189247155833,6.41709296366732,4.19835119585777,4.70685102169265,0.128986964394878,0.0833177367349257,199.459459459459,55.8163532482253,53.0361967364157,152.371976676044,17.3116910936806,PASS
3.8670368409593,1.02769918144781,6.51790782506579,3.67108224645644,4.80055386039222,0.127776579219966,0.078590247488129,198.108108108108,55.7869562960102,52.4733925593814,154.954676107829,17.3550128659232,PASS
4.04685087916632,1.06465604019048,6.26423424156534,3.94848044435978,4.82578530941299,0.170010355989473,0.111292403885326,195.945945945946,55.5238244631116,51.2830515701449,154.905782671842,17.4296191838593,PASS
4.19475620332107,1.02956595727846,6.36939759078697,3.33305139151517,4.70389848103244,0.138430691826845,0.0809603076397638,197.837837837838,55.5706746248217,52.9366269636823,149.928216788543,17.3541052048765,PASS
3.7615384576152,1.04152020222921,6.24317429015523,3.52146589565304,4.80737710470171,0.126779821165264,0.0791406374589348,197.027027027027,55.7649936043578,51.2814155180433,155.127264572175,17.3541403451977,PASS
3.76272990952179,1.06611252897617,6.47149830604266,4.08135145831727,4.79267372395815,0.167886599136978,0.118117794752269,198.378378378378,55.8131953102152,52.3732512983378,155.792002185526,17.3556998676907,PASS
3.71593154238129,1.04675731889618,6.44499208247986,4.36359772455419,4.75514484427444,0.153849507288672,0.105797021016411,198.918918918919,55.8004871916829,52.6583543451886,154.449269363109,17.3425059321449,PASS
3.56663239987934,1.0670441919063,6.19182204271998,3.99009822031123,4.84354137491362,0.146960969767912,0.101321278197397,196.486486486486,55.8166134595044,50.7075021147162,157.583784676073,17.3669746715932,PASS
3.60506331422482,1.0339765944997,6.37717651791399,3.88721708002892,4.67343868880843,0.130254929165759,0.0881828037276056,200,55.9265054519004,53.1801423363931,151.743354271708,17.266957719613,PASS
3.6280116211254,1.02447693961429,6.45834243464621,3.62220968144187,4.78797579614173,0.111537874435251,0.0695358411625383,198.648648648649,55.9352717273688,52.303922538286,155.389423724008,17.3110542865716,PASS
3.94070916033656,1.05674759824243,6.26706966243445,4.196644121588,4.82359885534614,0.162904019109395,0.106851641589177,196.216216216216,55.5619373666731,51.3064716262272,155.264200056223,17.4218518672251,PASS
3.83303507653528,1.02374174225089,6.2025756960789,3.48442801338816,4.87328689304492,0.108321412493796,0.0589775683515446,195.675675675676,55.6593279246594,50.491295254434,156.490396316502,17.4011152381485,PASS
4.09985587099507,1.03982437614556,6.36620327669362,4.76972410423668,4.68813151472458,0.178313823286859,0.117830582885327,198.378378378378,55.4727399241567,53.1609834124378,150.36134810177,17.3931105522135,PASS
3.5885301195984,1.0605785984242,6.51868330910782,3.10856417911422,4.84259765002654,0.130314266163537,0.0893068363305868,198.378378378378,56.0824491920313,51.9410722672572,158.244488789741,17.3017840502181,PASS
4.13034193551346,1.05962379380443,6.20279690438393,3.77059585030029,4.72841326831199,0.170604886579393,0.110852992295014,197.027027027027,55.4962696351854,52.021921957232,151.097988178786,17.3895463975581,PASS
3.81943523132658,1.02336285951331,6.50023313399463,3.4054665112186,4.72928510659292,0.118498240280437,0.0725891038736963,199.189189189189,55.8689231129057,53.1067439785182,152.653632974361,17.299501320873,PASS
3.60944474524186,1.02333049582159,6.48534519475043,4.07203706567228,4.79270400674711,0.118788365621195,0.0759346385424413,198.648648648649,55.8956006987142,52.3884265110676,155.79071375109,17.3289002725083,PASS
4.11920512470027,1.03756016506986,6.39633984733462,3.68878561894691,4.78458742298853,0.147936515742472,0.0902564486032904,197.027027027027,55.5695538550468,52.2199876382558,153.149494908713,17.3981536373574,PASS
3.56671231779219,1.02859336992184,6.25876981527932,3.30740854342284,4.71157235666221,0.106089784296475,0.066423377484991,198.918918918919,55.969827858745,52.2488697563814,152.661394642055,17.2611102026317,PASS
3.80937688611899,1.04249387072273,6.19027559491727,4.61321057055206,4.88025931996129,0.144834422178932,0.0912732053646135,195.405405405405,55.5319115987947,50.445428785069,157.338157715099,17.4538654738543,PASS
3.86055862590241,1.02146063264328,6.2939789875357,4.60875021428815,4.75266201137435,0.138728695514279,0.0862072424922581,197.567567567568,55.5875438595972,52.1312003622561,153.002019568151,17.3866613782578,PASS
4.06745922057633,1.02064358069433,6.31270598130605,3.50572958042004,4.76034732267688,0.124591279509202,0.0699449052859802,197.297297297297,55.5867308653342,52.1062886667767,152.073854046277,17.3745744144241,PASS
3.6065330110431,1.01861178667927,6.51153821267917,4.70270780870101,4.7983237455289,0.124758127805919,0.0803931574135324,198.648648648649,55.8357732717931,52.4725436951368,156.180271234425,17.3552913862254,PASS
3.67962851840778,1.01768351861184,6.29953708563995,4.47662849494766,4.67421494212735,0.127975467535773,0.082220574764087,199.189189189189,55.7566755514191,52.9128019372751,151.130718524466,17.310213136109,PASS
3.63285191094798,1.04028117333627,6.40608157098432,4.32672768493254,4.81440528002732,0.137853706358563,0.0919772161834693,197.837837837838,55.8160586432132,51.8803570301188,156.539793820692,17.360847225352,PASS
3.90162332241559,1.05334735900844,6.2790754900188,4.34845832897204,4.71269132683272,0.168795933865672,0.114505290479985,198.108108108108,55.6225679711818,52.4756527765092,151.859767777786,17.3632156599189,PASS
3.6431764317292,1.01979436759516,6.30505445473652,4.14896133664652,4.84377642237306,0.112642887303657,0.0673066407521876,197.027027027027,55.7611642045711,51.1827974784963,156.760119874593,17.377990223955,PASS
4.17349342535877,1.04005181971841,6.45165656429903,3.91637070092828,4.76742984908839,0.160964312630559,0.100928407885973,197.297297297297,55.5289585645014,52.6439482899064,152.587084083105,17.4046968569892,PASS
3.73051447460377,1.05933366049534,6.35546311593721,3.95654667861395,4.85206806293505,0.150652078867881,0.101558702309961,197.027027027027,55.7703536387293,51.3083520170559,157.419437773296,17.384206473739,PASS
3.97081019056771,1.03473028153816,6.3086993777577,4.46052189980646,4.78892743303684,0.152286773350805,0.0960121220647634,196.756756756757,55.529311761725,51.8415540233112,153.878868996812,17.4166601203848,PASS
4.18033011058192,1.04782227663104,6.48773941213747,4.02253193689202,4.80880272656647,0.169109628840194,0.107860161648994,197.027027027027,55.5161700455001,52.3735433953788,154.1327309095,17.4291663139051,PASS
3.66040477013318,1.06207470711532,6.28084867890062,3.88978497810637,4.7218992251189,0.155108808564069,0.10893505687083,198.648648648649,55.8523728805099,52.2976145687349,153.323936093091,17.3081652104201,PASS
3.65117740988217,1.03943770709936,6.25373184115006,3.38680426219152,4.72127317482593,0.121709600754997,0.0786623439471247,198.648648648649,55.8962230593215,52.1556703911881,152.804002974939,17.2843973819868,PASS
3.73389372580844,1.06543040566487,6.50481667115717,3.82156946343359,4.71177377817152,0.166942750315283,0.119896120812955,199.72972972973,55.9141638374348,53.3170112050263,153.296753517786,17.2956770365285,PASS
