7.5588	0	0
7.547265276	0.002464173	0
7.512714016	0.009811339	0
7.455350276	0.021890276	0
7.375514213	0.038489409	0
7.273651811	0.05929878	0
7.150367795	0.083940472	0
7.006380236	0.111976063	0
6.84252811	0.14293689	0
6.659786575	0.176301457	0
6.459236496	0.211533031	0
6.242072165	0.248094921	0
6.00960126	0.285420276	0
5.763222165	0.322957283	0
5.504439094	0.360161693	0
5.234809134	0.396481732	0
4.955995236	0.431388268	0
4.66969815	0.464352205	0
4.377701693	0.494859528	0
4.081797362	0.522411339	0
3.783837008	0.546523898	0
3.485687717	0.566736142	0
3.189216457	0.582647441	0
2.895262283	0.593721063	0
2.605367165	0.598505787	0
2.322736102	0.596616102	0
2.049236024	0.58803685	0
1.786681102	0.572881457	0
1.536802323	0.551376654	0
1.301254961	0.523885315	0
1.081581142	0.490868465	0
0.879186693	0.45290063	0
0.69537937	0.410631811	0
0.531300512	0.364765	0
0.387947835	0.316018307	0
0.266175591	0.26513248	0
0.166679094	0.212795354	0
0.090002638	0.15964185	0
0.036531693	0.106193583	0
0.006500551	0.052888937	0
0	0	0
0.016803228	-0.050560827	0
0.056532283	-0.096964291	0
0.118847008	-0.139112165	0
0.20327126	-0.176936378	0
0.309200276	-0.210331181	0
0.435908425	-0.239243583	0
0.582564291	-0.263635827	0
0.748222953	-0.283507913	0
0.931856417	-0.298920315	0
1.132346024	-0.310001496	0
1.34849748	-0.31696315	0
1.579048425	-0.320062283	0
1.822660984	-0.319661654	0
2.07794437	-0.316161929	0
2.343439646	-0.310031732	0
2.617635118	-0.301769961	0
2.898966102	-0.291898189	0
3.187130236	-0.280688465	0
3.480056417	-0.267490827	0
3.774962992	-0.252569724	0
4.070058543	-0.236340984	0
4.363559173	-0.21918252	0
4.653665945	-0.201449567	0
4.938602441	-0.183444528	0
5.216622677	-0.165416772	0
5.485988071	-0.147615787	0
5.745035709	-0.130207874	0
5.992147992	-0.113374449	0
6.225775394	-0.097243976	0
6.444443898	-0.08195252	0
6.646770315	-0.067621024	0
6.831469606	-0.054355315	0
6.997355	-0.042283937	0
7.143368346	-0.031512638	0
7.268564764	-0.022154843	0
7.372135433	-0.014331496	0
7.453400079	-0.008133268	0
7.511822047	-0.003635787	0
7.547038504	-0.000914606	0
7.5588	0	0
