L_fuse,Arw,Art,bw,SM_0,SM_dry,Max_Speed,ROC_Stall,Stall_Speed,Endurance_min,W_total,Result
2.92167455752862,12.1776897818534,7.5902756223034,5.74581079375086,0.103802884848225+0i,0.0966855051282599+0i,206.756756756757,52.1158360011337+0i,62.4929439119794,181.081057577762+0i,18.8743444665489,FAIL
6.87845972296417,3.8570487217309,9.63247464591201,3.81170618994497,0.36981867783675+0i,0.173785300283685+0i,187.297297297297,46.6881008129056+0i,53.3740077258641,94.4022666816032+0i,19.1300238872342,FAIL
9.94803835128573,10.6758678129639,6.2619803117308,8.48486203035933,0.123829987077657+0i,-0.216861140253932+0i,159.189189189189,46.2138006893341+0i,42.4224218707895,213.003145982686+0i,21.6346300315879,FAIL
3.51591902244823,4.12549719222969,1.68427050994608,7.19016848494418,0.000426569965431056+0i,-0.0602426446282469+0i,151.891891891892,48.4818383277373+0i,30.0248742292891,189.559918350406+0i,20.1389306452303,FAIL
6.90027776865051,4.5034792331447,4.56152085802041,6.95911991835415,0.0623584811736196+0i,-0.0913861100431597+0i,153.513513513514,46.6023359454116+0i,32.9689599089743,169.906087664244+0i,20.8373814945115,FAIL
1.7957767705668,5.49328707430274,4.20480383345365,5.11702908169708,-0.0167896231866664+0i,-0.0270245056152008+0i,174.324324324324,51.6666391849859+0i,46.8594358633784,157.188287412236+0i,18.6582007171049,FAIL
5.21471132175246,2.94509230415392,4.24774344697147,2.58997129615436,0.330228909371691+0i,0.22224970823946+0i,206.756756756757,43.648431457262+0i,66.7887868603968,61.764375208211+0i,18.1121612202215,FAIL
4.83855879417903,3.23405091961857,3.88889623436822,3.79737944198637,0.160930699140736+0i,0.0592346073975295+0i,188.648648648649,47.4318323499063+0i,48.4947832301596,96.3021085290004+0i,18.6931871976754,PASS
3.32595365427589,7.18046001772063,7.61401116977091,2.43264440871921,0.40421835917347+0i,0.446248687783505+0i,238.378378378378,46.0918469760032+0i,109.240821764125,65.1441407191854+0i,17.5326306548896,FAIL
7.71001410022099,7.9188668851941,3.30505517746697,2.14205765395185,1.07767785298043-0.00502034466838542i,0.775346534823611-0.00742961420789868i,220.810810810811,36.8334778810139-0.188233524465989i,132.076181429272,47.5293705156882-0.189740662991733i,18.0185753954265,FAIL
