L_fuse,Arw,Art,bw,SM_0,SM_dry,Max_Speed,ROC_Stall,Stall_Speed,Endurance_min,W_total,Result
8.33251317753861,11.3637113078318,2.14288134664155,9.72038270525117,0.0333143879396181+0i,-0.145681663467031+0i,156.216216216216,45.2822617343877+0i,38.7548674575843,237.353946601748+0i,22.2623610558524,FAIL
6.69123321602869,2.4729444549935,3.50648396980344,6.42193367284485,-0.358453998844256+0i,-0.616402652950135+0i,138.648648648649,42.0365349063784+0i,27.1156684249219,122.934663398227+0i,21.8589890793425,FAIL
9.61756151890868,12.013773887192,2.41851773509793,10.2353350358455,0.104330316107419+0i,-0.0932269389694935+0i,152.432432432432,44.2493757775769+0i,38.3106401742596,242.396717825787+0i,22.8157980841469,FAIL
9.61450253418651,6.73913213595125,8.2025242199992,2.77697704764494,1.6605874137484+0i,1.38538346688513+0i,199.459459459459,41.7203414623579+0i,96.3403654435463,62.0017102402931+0i,18.9334327511565,FAIL
4.79585154363648,11.4730907770797,8.12986596603599,10.1354318375361,-0.119642083034284+0i,-0.29431616056174+0i,157.567567567568,44.9663492946943+0i,37.5824719210203,258.145754241761+0i,22.5448288204993,FAIL
6.90166629240928,1.79282846431609,8.64216375281899,9.90593922981795,-1.02002654323288+0i,-1.32723189050459+0i,100.27027027027,32.5740348772084+0i,17.0066690702316,105.413108031455+0i,28.2204071916207,FAIL
7.10861639371996,9.73514143636167,7.68819221312425,5.03004317580751,0.741772142169083+0i,0.583198159746048+0i,194.324324324324,48.409429983282+0i,65.1437465067935,135.367562367452+0i,19.6615973489393,FAIL
6.89930101159801,3.28305356592718,7.35441479217648,1.78649561739679,1.11632988286991+0i,0.981185445034633+0i,210.27027027027,34.3864370776584+0i,102.355508683411,37.0276097808328+0i,18.1560160325139,FAIL
3.49230686464801,1.90788529694269,1.87418603112263,8.91112045494563,-0.779447817325918+0i,-1.06790147327351+0i,110.540540540541,-156.421724082943+0i,17.931274423516,20.5845884182661+0i,23.856506985977,FAIL
7.25345760678235,4.88809428066947,9.55199843954519,1.81001472452618,1.65439388492263+0i,1.51860010921065+0i,213.243243243243,33.899046034929+0i,123.175111114207,38.1835753456118+0i,18.1277015027553,FAIL
