e,W_total,Stall_Speed,Max_Speed,ROC_Stall,SM_0,SM_dry,Result
0.5,19.1015062273296,50.1235375256205,214.324324324324,72.5275179275918,0.0201420184703278,-0.0232305570346202,FAIL
0.51,19.1015062273296,50.1235375256205,214.324324324324,72.6611396653991,0.0209287309777222,-0.0224438445272258,FAIL
0.52,19.1015062273296,50.1235375256205,214.324324324324,72.7896667142784,0.0216990197920032,-0.0216735557129448,FAIL
0.53,19.1015062273296,50.1235375256205,214.594594594595,72.913386305554,0.0224533939006503,-0.0209191816042977,FAIL
0.54,19.1015062273296,50.1235375256205,214.594594594595,73.0325644321768,0.0231923414741152,-0.0201802340308328,FAIL
0.55,19.1015062273296,50.1235375256205,214.594594594595,73.1474477779789,0.0239163309192931,-0.0194562445856549,FAIL
0.56,19.1015062273296,50.1235375256205,214.594594594595,73.2582654402891,0.0246258118696586,-0.0187467636352894,FAIL
0.57,19.1015062273296,50.1235375256205,214.594594594595,73.3652304712836,0.0253212161164682,-0.0180513593884798,FAIL
0.58,19.1015062273296,50.1235375256205,214.594594594595,73.4685412599457,0.0260029584850775,-0.0173696170198705,FAIL
0.59,19.1015062273296,50.1235375256205,214.594594594595,73.5683827735426,0.0266714376601146,-0.0167011378448334,FAIL
0.6,19.1015062273296,50.1235375256205,214.594594594595,73.6649276750051,0.0273270369629556,-0.0160455385419924,FAIL
0.61,19.1015062273296,50.1235375256205,214.594594594595,73.7583373304508,0.0279701250846888,-0.0154024504202592,FAIL
0.62,19.1015062273296,50.1235375256205,214.594594594595,73.8487627192492,0.0286010567775138,-0.0147715187274342,FAIL
0.63,19.1015062273296,50.1235375256205,214.594594594595,73.9363452574566,0.0292201735072971,-0.0141524019976509,FAIL
0.64,19.1015062273296,50.1235375256205,214.594594594595,74.0212175440938,0.0298278040698101,-0.0135447714351379,FAIL
0.65,19.1015062273296,50.1235375256205,214.864864864865,74.1035040385736,0.0304242651729824,-0.0129483103319656,FAIL
0.66,19.1015062273296,50.1235375256205,214.864864864865,74.1833216765787,0.0310098619873398,-0.0123627135176082,FAIL
0.67,19.1015062273296,50.1235375256205,214.864864864865,74.2607804308192,0.031584888666634,-0.011787686838314,FAIL
0.68,19.1015062273296,50.1235375256205,214.864864864865,74.3359838223421,0.0321496288405348,-0.0112229466644131,FAIL
0.69,19.1015062273296,50.1235375256205,214.864864864865,74.4090293874075,0.0327043560811132,-0.0106682194238348,FAIL
0.7,19.1015062273296,50.1235375256205,214.864864864865,74.4800091043744,0.0332493343447313,-0.0101232411602167,FAIL
0.71,19.1015062273296,50.1235375256205,214.864864864865,74.5490097845364,0.0337848183908371,-0.00958775711411086,FAIL
0.72,19.1015062273296,50.1235375256205,214.864864864865,74.6161134304116,0.0343110541790607,-0.00906152132588733,FAIL
0.73,19.1015062273296,50.1235375256205,214.864864864865,74.6813975646068,0.0348282792459119,-0.00854429625903608,FAIL
0.74,19.1015062273296,50.1235375256205,214.864864864865,74.7449355320374,0.0353367230622916,-0.00803585244265637,FAIL
0.75,19.1015062273296,50.1235375256205,214.864864864865,74.8067967779899,0.0358366073729466,-0.00753596813200141,FAIL
0.76,19.1015062273296,50.1235375256205,214.864864864865,74.8670471042503,0.0363281465189258,-0.0070444289860222,FAIL
0.77,19.1015062273296,50.1235375256205,214.864864864865,74.9257489052923,0.0368115477440173,-0.0065610277609307,FAIL
0.78,19.1015062273296,50.1235375256205,214.864864864865,74.9829613863132,0.0372870114860941,-0.00608556401885385,FAIL
0.79,19.1015062273296,50.1235375256205,214.864864864865,75.0387407647259,0.0377547316542219,-0.00561784385072606,FAIL
0.8,19.1015062273296,50.1235375256205,214.864864864865,75.0931404565532,0.0382148958923391,-0.00515767961260893,FAIL
0.81,19.1015062273296,50.1235375256205,214.864864864865,75.1462112490295,0.0386676858302575,-0.00470488967469052,FAIL
0.82,19.1015062273296,50.1235375256205,214.864864864865,75.1980014605851,0.0391132773226954,-0.00425929818225257,FAIL
0.83,19.1015062273296,50.1235375256205,214.864864864865,75.2485570892786,0.0395518406769975,-0.00382073482795053,FAIL
0.84,19.1015062273296,50.1235375256205,214.864864864865,75.2979219506377,0.039983540870164,-0.00338903463478402,FAIL
0.85,19.1015062273296,50.1235375256205,214.864864864865,75.3461378057812,0.0404085377557718,-0.0029640377491762,FAIL
0.86,19.1015062273296,50.1235375256205,215.135135135135,75.3932444806127,0.0408269862613286,-0.00254558924361936,FAIL
0.87,19.1015062273296,50.1235375256205,215.135135135135,75.4392799768032,0.0412390365765751,-0.00213353892837287,FAIL
0.88,19.1015062273296,50.1235375256205,215.135135135135,75.4842805752168,0.0416448343332163,-0.00172774117173169,FAIL
0.89,19.1015062273296,50.1235375256205,215.135135135135,75.5282809323711,0.0420445207765303,-0.00132805472841768,FAIL
0.9,19.1015062273296,50.1235375256205,215.135135135135,75.5713141704766,0.0424382329292841,-0.000934342575663938,FAIL
0.91,19.1015062273296,50.1235375256205,215.135135135135,75.613411961546,0.0428261037483514,-0.000546471756596612,FAIL
0.92,19.1015062273296,50.1235375256205,215.135135135135,75.6546046060259,0.0432082622744124,-0.000164313230535562,FAIL
0.93,19.1015062273296,50.1235375256205,215.135135135135,75.6949211063625,0.0435848337750874,0.000212258270139376,FAIL
0.94,19.1015062273296,50.1235375256205,215.135135135135,75.7343892358779,0.0439559398818377,0.000583364376889661,FAIL
0.95,19.1015062273296,50.1235375256205,215.135135135135,75.7730356033025,0.044321698720949,0.000949123216001047,FAIL
0.96,19.1015062273296,50.1235375256205,215.135135135135,75.8108857132803,0.0446822250388943,0.0013096495339463,FAIL
0.97,19.1015062273296,50.1235375256205,215.135135135135,75.8479640231368,0.0450376303223529,0.00166505481740487,FAIL
0.98,19.1015062273296,50.1235375256205,215.135135135135,75.8842939961768,0.0453880229131524,0.00201544740820436,FAIL
0.99,19.1015062273296,50.1235375256205,215.135135135135,75.9198981517571,0.0457335081183809,0.00236093261343295,FAIL
1,19.1015062273296,50.1235375256205,215.135135135135,75.9547981123589,0.0460741883159053,0.00270161281095727,FAIL
